   0   0       33.8911917733        0.0000000000
   1   1       -1.1463698983       -0.5659280765
   1   0        0.8728507915        0.0000000000
   1  -1        1.1463698983       -0.5659280765
   2   2        1.8068208764        3.6677447924
   2   1       -0.1410351865        0.2638901173
   2   0       -1.9945361027        0.0000000000
   2  -1        0.1410351865        0.2638901173
   2  -2        1.8068208764       -3.6677447924
   3   3        0.6216363275        1.2253563248
   3   2        0.9734089987       -0.4818387257
   3   1       -1.5560634792        0.0163229543
   3   0        2.4319091698        0.0000000000
   3  -1        1.5560634792        0.0163229543
   3  -2        0.9734089987        0.4818387257
   3  -3       -0.6216363275        1.2253563248
   4   4       -0.8589654532        0.6807470415
   4   3       -0.3247616152        0.5081309320
   4   2       -0.2065758096       -1.1393178876
   4   1        0.7687102037       -0.0079757391
   4   0       -0.6644348969        0.0000000000
   4  -1       -0.7687102037       -0.0079757391
   4  -2       -0.2065758096        1.1393178876
   4  -3        0.3247616152        0.5081309320
   4  -4       -0.8589654532       -0.6807470415
   5   5       -0.5048787015        0.4683872056
   5   4       -0.1780806396       -0.0008806650
   5   3       -0.2405427779       -0.1550523786
   5   2        0.2122668644        0.2894734372
   5   1        0.6734737358        0.4202969851
   5   0       -0.4705059525        0.0000000000
   5  -1       -0.6734737358        0.4202969851
   5  -2        0.2122668644       -0.2894734372
   5  -3        0.2405427779       -0.1550523786
   5  -4       -0.1780806396        0.0008806650
   5  -5        0.5048787015        0.4683872056
   6   6       -0.3446883845       -0.3002363672
   6   5       -0.0728784443       -0.0380342845
   6   4        0.5718031413       -0.3248807921
   6   3       -0.0171899459        0.3973096648
   6   2       -0.0501901413        0.0772613991
   6   1       -0.3531315431       -0.2558427160
   6   0        0.5588438398        0.0000000000
   6  -1        0.3531315431       -0.2558427160
   6  -2       -0.0501901413       -0.0772613991
   6  -3        0.0171899459        0.3973096648
   6  -4        0.5718031413        0.3248807921
   6  -5        0.0728784443       -0.0380342845
   6  -6       -0.3446883845        0.3002363672
   7   7       -0.2791430357       -0.2995761445
   7   6       -0.3493146896        0.2351537658
   7   5        0.5247625613       -0.0328263195
   7   4       -0.2109870549       -0.1009550404
   7   3       -0.1184342024        0.4918401201
   7   2       -0.2377188176        0.0372962289
   7   1        0.2776352269       -0.0181887500
   7   0       -0.0484905049        0.0000000000
   7  -1       -0.2776352269       -0.0181887500
   7  -2       -0.2377188176       -0.0372962289
   7  -3        0.1184342024        0.4918401201
   7  -4       -0.2109870549        0.1009550404
   7  -5       -0.5247625613       -0.0328263195
   7  -6       -0.3493146896       -0.2351537658
   7  -7        0.2791430357       -0.2995761445
   8   8        0.2275089149       -0.1109437593
   8   7        0.0611051005       -0.0414566612
   8   6        0.0545104717        0.2659153260
   8   5       -0.0981535203        0.0095924694
   8   4       -0.1619190995        0.0653193888
   8   3        0.0627032628       -0.2424438757
   8   2       -0.0393906510        0.0466633521
   8   1        0.0630081556        0.2721579258
   8   0        0.1433393752        0.0000000000
   8  -1       -0.0630081556        0.2721579258
   8  -2       -0.0393906510       -0.0466633521
   8  -3       -0.0627032628       -0.2424438757
   8  -4       -0.1619190995       -0.0653193888
   8  -5        0.0981535203        0.0095924694
   8  -6        0.0545104717       -0.2659153260
   8  -7       -0.0611051005       -0.0414566612
   8  -8        0.2275089149        0.1109437593
   9   9        0.0829705032       -0.2017140762
   9   8       -0.1960566035       -0.0557688274
   9   7        0.1128657502        0.1284107676
   9   6        0.0198542273       -0.1267229659
   9   5       -0.1305863583        0.0734604518
   9   4        0.1145760643       -0.0420028652
   9   3        0.1718936703       -0.1095007456
   9   2        0.0329254185        0.0485804713
   9   1       -0.1339892003       -0.0438038666
   9   0        0.1406659434        0.0000000000
   9  -1        0.1339892003       -0.0438038666
   9  -2        0.0329254185       -0.0485804713
   9  -3       -0.1718936703       -0.1095007456
   9  -4        0.1145760643        0.0420028652
   9  -5        0.1305863583        0.0734604518
   9  -6        0.0198542273        0.1267229659
   9  -7       -0.1128657502        0.1284107676
   9  -8       -0.1960566035        0.0557688274
   9  -9       -0.0829705032       -0.2017140762
  10  10        0.1156242364        0.0083791267
  10   9       -0.1372798504        0.0386711782
  10   8       -0.0583781294        0.1473601732
  10   7        0.1596931866       -0.0619332058
  10   6       -0.1724156611       -0.0431104527
