ma165-anm-00001.dat,-8.4847,9.5158,-13.5468,12.1245,-10.7818,11.1325,1881.7341,1058.1841,1.436,15.31745,1.650,18,0.99616,29.668900,17.588667,9.582875,3.096033,1.835427
ma165-anm-00002.dat,-11.8441,10.6456,-11.4369,11.5888,-12.7200,11.9746,4876.1678,1613.7418,1.160,21.03908,1.110,28,0.99620,28.166685,21.779747,20.543861,1.371051,1.060158
ma165-anm-00003.dat,-13.4483,16.5969,-19.7867,15.1764,-22.0414,20.4342,14171.1911,3420.5507,1.208,30.02405,1.207,22,0.99931,43.187843,34.862869,23.518520,1.836333,1.482358
ma165-anm-00004.dat,-16.3046,13.8164,-14.9584,11.5687,-16.2840,19.6831,11425.8615,2941.5705,1.199,27.94453,1.189,16,0.97725,38.327637,31.189049,29.817101,1.285425,1.046012
ma165-anm-00005.dat,-14.2026,14.8995,-11.2100,15.5619,-11.6469,9.2431,5198.8558,1804.4505,1.243,21.49330,1.166,28,1.02316,29.137747,26.986912,21.545357,1.352391,1.252563
ma165-anm-00006.dat,-13.5143,16.3366,-8.9872,9.9220,-13.3500,17.6266,5819.8263,1968.2993,1.258,22.31707,1.365,26,1.03610,34.705563,25.406435,17.108438,2.028564,1.485024
ma165-anm-00007.dat,-15.2575,15.1571,-12.8505,10.7945,-15.3804,13.3258,5821.0332,2053.5311,1.312,22.31861,1.303,28,1.00475,33.963764,28.426765,17.974047,1.889600,1.581545
ma165-anm-00008.dat,-9.8982,8.5737,-8.2590,8.2752,-11.6744,14.9990,1915.8368,994.6030,1.333,15.40943,1.438,20,0.98036,31.367123,17.232683,13.704211,2.288867,1.257474
ma165-anm-00009.dat,-15.5417,13.7492,-7.3764,9.2476,-14.0130,14.6503,4384.6400,1626.6332,1.256,20.30697,1.467,22,1.03476,32.912079,23.869478,13.176613,2.497765,1.811503
ma165-anm-00010.dat,-11.9514,10.0204,-8.1209,6.5261,-14.4635,14.6807,2661.2108,1167.8990,1.258,17.19334,1.624,12,0.99614,31.587297,18.465090,11.101129,2.845413,1.663352
ma165-anm-00011.dat,-14.6385,12.6949,-8.7659,8.6608,-17.6865,15.5009,5066.6387,1913.7257,1.341,21.30953,1.528,24,0.95910,34.201641,28.011946,13.742079,2.488826,2.038407
ma165-anm-00012.dat,-13.5035,11.2055,-13.0092,13.6903,-14.4828,14.7842,6973.5953,2087.6284,1.183,23.70388,1.148,28,1.02656,30.776213,28.708956,22.018219,1.397761,1.303873
ma165-anm-00013.dat,-16.2654,20.9824,-17.3695,17.4045,-20.7118,14.3077,15408.1852,3480.6435,1.162,30.87339,1.121,28,0.99091,40.113506,35.979607,31.375395,1.278502,1.146746
ma165-anm-00015.dat,-12.4558,11.4267,-14.7662,12.3891,-17.3054,13.0334,6833.8121,2050.7076,1.178,23.54443,1.212,24,1.01121,35.408340,22.674959,21.339851,1.659259,1.062564
ma165-anm-00016.dat,-14.8706,14.8110,-9.4882,8.1573,-6.9854,9.0098,2315.4549,1171.0087,1.384,16.41393,1.535,18,0.98598,31.486963,17.603113,13.862280,2.271413,1.269857
ma165-anm-00017.dat,-10.6507,14.0958,-8.9538,7.1191,-11.0759,11.8519,2692.9696,1170.1456,1.250,17.26146,1.270,22,0.98741,24.928339,23.600508,14.192962,1.756387,1.662832
ma165-anm-00018.dat,-10.6847,14.0295,-12.6445,15.7239,-12.5386,14.9023,6877.2782,2055.0645,1.175,23.59424,1.107,28,0.98460,29.144119,27.596939,24.956345,1.167804,1.105809
ma165-anm-00019.dat,-10.8323,9.8448,-8.7196,8.6776,-13.5164,11.1630,3245.4621,1246.7199,1.176,18.36930,1.155,24,1.04265,26.051992,19.145962,16.696898,1.560289,1.146678
ma165-anm-00020.dat,-8.9233,6.8885,-9.3026,8.9431,-12.1497,13.9617,2494.6681,1117.5005,1.256,16.82692,1.376,22,1.01053,27.941999,19.320173,12.045007,2.319799,1.603999
ma165-anm-00021.dat,-10.7134,9.3789,-8.8037,8.2271,-11.9640,10.9642,3241.8637,1251.5738,1.182,18.36251,1.216,20,1.00521,26.676472,21.758476,14.827799,1.799085,1.467411
ma165-anm-00022.dat,-11.3500,13.0722,-11.0227,11.3693,-11.2216,11.3173,4379.5490,1551.7791,1.199,20.29911,1.110,28,0.96086,27.605602,24.017536,20.870024,1.322739,1.150815
ma165-anm-00023.dat,-12.6559,13.1310,-11.1492,11.0603,-16.2557,19.8007,6040.1861,2043.8062,1.274,22.59525,1.267,28,0.96224,36.776043,24.221775,19.574162,1.878805,1.237436
ma165-anm-00024.dat,-10.1445,9.2769,-8.9163,11.9561,-9.1298,7.7917,2239.0714,1027.6264,1.242,16.23142,1.142,24,1.00470,22.083429,19.071650,12.519849,1.763874,1.523313
ma165-anm-00025.dat,-9.1158,10.9673,-12.1759,10.5159,-12.3009,14.0141,4234.4814,1502.6481,1.187,20.07246,1.220,24,0.96995,30.093204,21.892668,17.468920,1.722671,1.253235
ma165-anm-00026.dat,-12.5260,12.4177,-9.1526,9.3120,-15.2697,10.9999,3908.0109,1445.1241,1.204,19.54275,1.300,24,0.98347,29.204632,22.445642,14.715075,1.984674,1.525350
ma165-anm-00027.dat,-16.1138,17.7818,-16.8741,18.5063,-13.1011,14.1307,10013.5670,2657.4418,1.183,26.74218,1.146,28,1.00877,36.257187,34.687103,22.868298,1.585478,1.516821
ma165-anm-00028.dat,-8.2046,8.2749,-13.3400,15.0249,-6.6321,11.5654,2320.9266,1111.3304,1.311,16.42685,1.400,20,1.01134,28.598303,21.397005,12.727118,2.247037,1.681214
ma165-anm-00029.dat,-11.6012,13.1942,-8.3771,6.7569,-10.0719,8.5628,2381.3370,1117.5547,1.296,16.56815,1.262,26,1.01605,24.830305,19.924635,12.438619,1.996227,1.601837
ma165-anm-00030.dat,-8.2614,7.8145,-7.3709,7.6347,-7.6895,8.2638,1283.6614,653.3417,1.144,13.48395,1.157,16,1.01172,18.387352,13.342488,11.203145,1.641267,1.190959
ma165-anm-00031.dat,-15.3783,17.3762,-11.4342,12.3426,-17.2163,21.2027,4387.0115,1830.8870,1.413,20.31063,2.455,24,0.99111,49.454548,17.277901,11.605083,4.261456,1.488822
