Name  xlow xhi ylow yhi zlow zhi  volume  surf._area  norm_surf_area Equiv._sph._diam.  Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thickness(mm) L/T W/T
GR-coarse-anm-00007.dat -3.3392 3.2890 -3.9485 3.7991 -2.1370 2.3109 65.0 112.0 1.427 5.0 1.435 20 1.0037 8.24673 6.66534 3.18489 3.18489 4.19402
GR-coarse-anm-00293.dat -4.5730 4.5420 -3.3838 2.5473 -2.8209 1.6935 66.0 112.0 1.424 5.0 1.518 18 1.0021 9.76352 5.16762 4.69099 4.69099 4.19402
GR-coarse-anm-00127.dat -2.7250 2.2640 -4.0410 3.9999 -2.0315 1.7231 64.0 97.0 1.254 5.0 1.396 12 0.9925 8.36243 4.47975 4.25336 4.25336 4.19402
GR-coarse-anm-00479.dat -3.0155 3.5826 -3.7425 3.1036 -2.5843 2.5282 68.0 115.0 1.433 5.1 1.351 26 1.0004 8.62622 6.82470 4.27314 2.01871 1.59711
GR-coarse-anm-00027.dat -2.7911 3.0810 -3.7528 4.3771 -2.4717 2.4736 71.0 117.0 1.409 5.1 1.375 26 0.9607 8.53041 5.35107 4.79283 4.79283 3.79210
GR-coarse-anm-00131.dat -2.8229 3.5343 -3.0871 3.1775 -2.6429 2.5140 68.0 112.0 1.389 5.1 1.158 28 1.0492 7.00608 6.08983 4.36747 4.36747 3.18489
GR-coarse-anm-00384.dat -3.8306 3.6457 -2.3225 2.4934 -4.3465 4.2262 67.0 121.0 1.510 5.1 1.899 16 1.0395 9.76437 7.61413 2.28767 2.28767 4.69099
GR-coarse-anm-00120.dat -2.5778 2.6223 -3.6516 3.5091 -3.1633 3.3567 71.0 110.0 1.321 5.1 1.219 26 1.0313 7.61354 6.71664 4.07375 4.07375 4.25336
GR-coarse-anm-00141.dat -4.7518 3.3301 -4.8334 3.6839 -3.1520 2.0155 73.0 120.0 1.427 5.2 1.821 16 1.0048 10.98042 5.56515 3.52866 3.52866 2.01871
GR-coarse-anm-00267.dat -3.3892 5.0878 -2.3843 2.5989 -2.7953 2.2689 76.0 119.0 1.375 5.2 1.374 28 1.0465 9.15350 5.71846 3.99376 3.99376 4.79283
GR-coarse-anm-00289.dat -2.1330 2.6786 -5.1214 4.0269 -1.8708 3.2016 73.0 126.0 1.488 5.2 2.016 26 1.0420 10.12945 5.23253 4.10247 4.10247 4.36747
GR-coarse-anm-00017.dat -4.8977 4.0811 -3.0052 2.7437 -2.1955 1.7284 74.0 123.0 1.448 5.2 1.392 14 0.9762 9.06639 5.49547 4.78049 4.78049 2.28767
GR-coarse-anm-00124.dat -3.0692 2.9711 -4.1179 4.2031 -1.6354 2.0594 73.0 124.0 1.475 5.2 1.471 24 1.0372 8.36787 6.68551 3.55652 3.55652 4.07375
GR-coarse-anm-00426.dat -2.2508 2.8333 -4.7217 3.5064 -3.4123 2.4570 80.0 118.0 1.313 5.3 1.356 14 1.0211 9.08391 7.29128 3.58268 3.58268 3.99376
GR-coarse-anm-00366.dat -4.3409 4.3012 -2.8502 2.6187 -2.1021 2.2428 78.0 122.0 1.379 5.3 1.279 24 1.0124 8.72445 5.61319 4.79813 4.79813 4.10247
GR-coarse-anm-00382.dat -3.0900 3.1243 -3.3604 3.9524 -3.9640 3.4241 78.0 121.0 1.373 5.3 1.590 16 0.9811 9.79687 6.34850 3.03352 3.03352 4.78049
GR-coarse-anm-00351.dat -3.0016 3.8156 -3.2649 2.8806 -2.1769 2.1717 79.0 120.0 1.352 5.3 1.165 24 1.0289 7.97524 6.39410 4.79859 4.79859 3.55652
GR-coarse-anm-00456.dat -3.8975 3.2765 -3.6795 3.6456 -1.9248 2.4464 84.0 130.0 1.407 5.4 1.225 24 1.0433 7.49825 7.24398 4.37368 4.37368 3.58268
GR-coarse-anm-00147.dat -3.8390 4.5266 -2.2322 2.2247 -3.2530 3.3151 82.0 127.0 1.396 5.4 1.332 26 1.0036 8.44524 7.23152 3.54385 3.54385 4.79813
GR-coarse-anm-00359.dat -3.1867 2.8385 -2.8926 2.9938 -3.3743 3.1565 84.0 121.0 1.303 5.4 1.146 26 1.0308 7.28525 6.25948 4.67631 4.67631 3.03352
GR-coarse-anm-00484.dat -3.2151 2.8052 -3.2161 2.8557 -2.5830 3.1983 83.0 118.0 1.279 5.4 1.134 26 0.9558 7.48819 6.50325 5.39228 5.39228 4.79859
GR-coarse-anm-00107.dat -4.3023 5.3454 -2.9259 3.1907 -2.5614 2.5862 91.0 143.0 1.464 5.6 1.359 26 0.9633 9.83733 6.25229 4.53510 4.53510 3.54385
GR-coarse-anm-00466.dat -4.0390 4.5432 -3.2014 3.2226 -2.2012 3.1363 92.0 136.0 1.377 5.6 1.265 20 0.9999 8.88204 6.54755 4.77534 1.85998 1.37112
GR-coarse-anm-00216.dat -3.3294 3.5919 -3.9361 4.1277 -1.5587 2.7879 92.0 131.0 1.325 5.6 1.232 28 1.0380 8.23139 6.53059 4.35628 4.35628 4.67631
GR-coarse-anm-00228.dat -3.4715 3.2342 -4.5644 4.1845 -3.5846 1.5335 93.0 139.0 1.403 5.6 1.292 24 0.9515 8.84740 6.48871 5.16734 5.16734 1.38869
GR-coarse-anm-00075.dat -3.4543 4.1634 -3.2040 3.2302 -2.6068 3.2128 91.0 128.0 1.310 5.6 1.157 22 1.0341 8.16581 6.33819 5.03644 5.03644 4.37368
GR-coarse-anm-00371.dat -2.8294 2.9467 -3.8479 3.3130 -3.6843 4.3300 91.0 137.0 1.397 5.6 1.459 24 0.9810 9.29891 7.39137 3.90255 3.90255 3.54385
GR-coarse-anm-00373.dat -3.9400 3.5766 -3.0181 3.2433 -2.5848 2.4940 92.0 133.0 1.348 5.6 1.177 26 1.0203 8.14493 6.18263 5.21362 5.21362 4.67631
GR-coarse-anm-00335.dat -2.9838 2.4672 -3.2718 3.3192 -3.8757 4.1310 94.0 132.0 1.318 5.6 1.224 28 0.9655 8.22472 6.33550 4.30953 4.30953 5.39228
GR-coarse-anm-00031.dat -4.3589 3.8267 -4.1089 3.4118 -3.0224 2.1769 99.0 143.0 1.383 5.7 1.232 22 1.0083 8.82584 7.77841 4.71744 4.71744 5.16734
GR-coarse-anm-00486.dat -3.4596 3.4478 -4.6563 3.8994 -2.7011 2.4692 99.0 136.0 1.312 5.7 1.326 20 0.9572 9.16020 6.05928 5.18261 1.76749 1.16916
GR-coarse-anm-00281.dat -4.1106 3.0258 -2.8794 3.0185 -2.7356 3.8280 97.0 132.0 1.292 5.7 1.239 28 0.9890 8.57542 7.15586 4.38599 4.38599 5.03644
GR-coarse-anm-00445.dat -4.4806 3.4907 -4.4099 3.2807 -3.1456 2.6015 96.0 149.0 1.470 5.7 1.471 22 1.0235 9.51848 8.11000 3.60555 3.60555 3.90255
GR-coarse-anm-00476.dat -3.8934 3.3565 -3.0544 2.8458 -2.9651 2.9546 95.0 138.0 1.372 5.7 1.144 28 1.0267 7.66671 6.16452 5.19727 5.19727 5.21362
GR-coarse-anm-00343.dat -4.3851 4.3370 -2.7721 3.4790 -2.2301 2.2248 98.0 136.0 1.319 5.7 1.331 22 0.9841 8.85020 6.25275 4.05358 4.05358 4.30953
GR-coarse-anm-00369.dat -3.4030 3.5712 -2.7601 2.9295 -3.1517 4.1569 103.0 137.0 1.292 5.8 1.170 26 1.0353 8.31817 6.75103 4.90241 4.90241 4.71744
GR-coarse-anm-00084.dat -3.2766 3.3773 -3.1223 4.1627 -2.9971 3.2251 102.0 137.0 1.301 5.8 1.234 16 0.9984 8.66992 7.86870 4.53936 4.53936 1.76749
GR-coarse-anm-00490.dat -2.3598 2.1015 -4.0218 3.4433 -5.0043 5.9425 100.0 147.0 1.411 5.8 2.110 22 0.9695 11.32004 5.42183 4.05943 2.78858 1.33561
GR-coarse-anm-00493.dat -1.9712 2.5197 -4.1632 3.2921 -4.2198 4.4278 104.0 143.0 1.336 5.8 1.311 28 1.0358 9.09474 7.99046 4.06916 2.23504 1.96366
GR-coarse-anm-00410.dat -2.5777 3.3726 -4.1270 4.6343 -3.7271 3.6296 103.0 145.0 1.362 5.8 1.358 22 0.9998 10.20773 6.22121 4.53253 4.53253 4.38599
GR-coarse-anm-00081.dat -3.2659 3.0654 -2.3773 2.5528 -5.0599 4.1628 104.0 135.0 1.265 5.8 1.411 24 1.0110 9.93746 5.65924 4.74820 4.74820 3.60555
GR-coarse-anm-00229.dat -4.9968 6.7121 -2.8773 2.7446 -1.5653 2.9877 103.0 152.0 1.429 5.8 1.835 16 1.0130 11.72791 6.41051 4.50432 4.50432 5.19727
GR-coarse-anm-00234.dat -3.4522 3.4571 -3.5304 3.3662 -4.0886 3.3380 102.0 137.0 1.295 5.8 1.236 22 0.9697 8.51200 6.60312 5.23099 5.23099 4.05358
GR-coarse-anm-00303.dat -3.6630 3.1689 -4.3669 4.1258 -2.9519 2.1669 109.0 142.0 1.284 5.9 1.325 16 0.9920 10.35376 5.88737 5.26661 5.26661 4.53253
GR-coarse-anm-00439.dat -5.6437 4.9738 -4.9381 4.3886 -2.3705 1.9664 106.0 170.0 1.570 5.9 1.851 20 0.9940 12.19215 6.69020 4.00504 4.00504 4.74820
GR-coarse-anm-00133.dat -2.1135 2.2225 -3.7397 5.2747 -3.4308 3.1210 106.0 142.0 1.313 5.9 1.326 22 0.9820 9.73973 6.86388 4.39935 4.39935 4.50432
GR-coarse-anm-00483.dat -4.2072 4.0456 -2.7820 3.5076 -4.4556 3.5016 107.0 156.0 1.428 5.9 1.624 28 1.0192 10.60812 6.98793 3.29903 3.29903 5.23099
GR-coarse-anm-00356.dat -5.2091 5.0209 -3.2826 3.2827 -2.7510 1.5369 112.0 163.0 1.449 6.0 1.565 28 1.0034 10.65178 6.96432 4.19710 4.19710 4.39935
GR-coarse-anm-00500.dat -2.9296 3.5648 -3.9373 3.5909 -5.4604 5.9872 113.0 162.0 1.436 6.0 2.137 26 0.9739 13.03460 5.83113 3.49761 3.49761 3.29903
GR-coarse-anm-00403.dat -3.6927 3.7276 -4.6580 4.7816 -2.9955 2.8911 117.0 161.0 1.389 6.1 1.428 22 0.9958 10.39601 7.30251 4.18711 4.18711 4.19710
GR-coarse-anm-00151.dat -3.5777 4.1432 -4.0677 3.7078 -4.0590 3.2857 116.0 159.0 1.382 6.1 1.413 26 1.0442 9.66484 7.06419 4.36419 4.36419 3.72671
GR-coarse-anm-00505.dat -3.0926 3.0527 -4.0687 3.8871 -3.7030 3.5693 118.0 155.0 1.334 6.1 1.150 28 1.0284 8.15747 6.92596 5.03567 1.61994 1.37538
GR-coarse-anm-00452.dat -2.7880 2.2634 -4.6694 5.9055 -2.3645 4.2843 120.0 167.0 1.423 6.1 1.537 20 0.9610 11.04281 7.27150 4.38562 4.38562 4.19710
GR-coarse-anm-00332.dat -4.2620 4.2875 -3.0049 3.3126 -3.7723 3.6031 117.0 155.0 1.341 6.1 1.197 26 0.9783 8.57061 7.74641 4.71978 4.71978 3.49761
