Name                                   IS_Rad        IS_x        IS_y        IS_z  Sphericity    Round DP  Round MaxC    Corey SF         ASF         MPS         ESF     Hofmann
MA106B-4-coarse-anm-00001.dat            6.29     -0.0178       -1.26        1.55       0.826       0.786       0.501       0.618       0.935       0.726       0.669       0.962
MA106B-4-coarse-anm-00002.dat            6.72        2.35       -5.34        0.38       0.771       0.716       0.515       0.543       0.919       0.666       0.613       0.962
