cement141-anm-00049.dat,-8.3956,8.6173,-11.5507,12.7814,-12.2648,12.3962,4141.5946,1453.6355,1.166,19.92460,1.136,24,0.98229,26.324003,21.633194,18.722294,1.406024,1.155478
cement141-anm-00051.dat,-13.1899,13.1875,-16.9949,17.2833,-12.2450,13.2913,8101.6212,2396.9843,1.229,24.91865,1.257,20,0.96135,38.267166,26.279896,23.560541,1.624206,1.115420
cement141-anm-00052.dat,-11.2098,11.4095,-15.3245,13.3601,-9.7592,8.7562,3892.2272,1553.8065,1.299,19.51641,1.279,18,0.98571,30.463993,22.937954,19.631195,1.551815,1.168444
cement141-anm-00055.dat,-14.4633,11.1576,-13.5288,11.9351,-10.6876,18.0328,5595.1029,1906.1439,1.251,22.02604,1.325,24,1.00324,36.513878,25.701387,22.466778,1.625239,1.143973
cement141-anm-00056.dat,-11.9891,8.6779,-11.2775,11.7389,-15.8927,13.0407,4216.4073,1630.1441,1.292,20.04386,1.375,18,1.03686,30.514774,25.365267,12.313192,2.478218,2.060007
cement141-anm-00057.dat,-9.3469,10.7021,-13.2255,13.1186,-14.9660,11.4067,2950.1806,1376.1389,1.383,17.79440,1.707,20,0.96920,33.904896,22.430689,11.043773,3.070046,2.031071
cement141-anm-00058.dat,-10.1193,10.2203,-11.4897,11.9962,-5.9781,5.2953,1357.3897,820.9786,1.385,13.73732,1.705,20,0.96859,26.579716,11.933460,11.389786,2.333645,1.047733
cement141-anm-00059.dat,-15.5731,16.8010,-22.6249,21.6912,-23.0720,24.3496,13445.1126,3791.6020,1.387,29.50226,1.640,22,1.00732,55.863834,39.812065,15.043173,3.713567,2.646521
cement141-anm-00060.dat,-11.5701,11.1985,-5.5037,5.0700,-18.7225,16.9456,2944.4345,1425.6073,1.435,17.78284,1.840,22,0.96214,36.160767,22.636723,9.480093,3.814389,2.387816
cement141-anm-00062.dat,-7.4404,6.8440,-8.0900,7.6793,-8.5781,11.2366,1239.9616,710.4255,1.273,13.32917,1.369,20,0.98934,23.055794,14.426683,10.152257,2.271002,1.421032
cement141-anm-00063.dat,-10.1037,9.1014,-12.5107,13.3067,-7.5895,8.3090,2518.1208,1320.8687,1.476,16.87949,1.459,22,1.03098,28.092237,22.776688,13.065120,2.150171,1.743320
cement141-anm-00064.dat,-13.0576,12.7873,-14.4247,13.8365,-12.4634,10.4096,4547.7221,1666.1177,1.255,20.55568,1.388,20,0.99439,34.147644,25.159084,13.181414,2.590591,1.908679
cement141-anm-00067.dat,-7.1116,7.9410,-10.3534,9.2912,-12.9821,11.9991,3410.2550,1256.7927,1.147,18.67509,1.179,20,1.00570,25.567856,20.670673,15.626296,1.636207,1.322813
