Name xlow xhi ylow yhi zlow zhi volume surf._area norm_surf_area Equiv._sph._diam. Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thick(mm) L/T W/T
MA120B-anm-00156.dat -3.0850 2.6055 -2.2760 2.6183 -0.9007 1.0511 18.3 48.5 1.447 3.3 1.788 30 0.9717 6.20650 4.33480 1.73796 3.57114 2.49419
MA120B-anm-00158.dat -2.2921 2.5922 -2.1627 2.2358 -1.5806 1.4176 29.6 52.7 1.139 3.8 1.134 30 0.9985 5.60072 4.43646 3.04703 1.83809 1.45600
MA120B-anm-00160.dat -2.9056 2.5769 -2.0596 2.5673 -1.5480 1.4197 34.7 60.9 1.185 4.0 1.213 30 0.9947 5.79042 4.71379 3.24236 1.78587 1.45381
MA120B-anm-00161.dat -2.3851 2.2120 -2.6874 2.4004 -1.2057 1.6311 25.0 49.1 1.188 3.6 1.198 30 0.9975 5.21253 4.10922 2.83908 1.83599 1.44738
MA120B-anm-00162.dat -2.2679 2.3075 -2.5088 2.2680 -1.6499 1.2848 31.8 55.9 1.153 3.9 1.126 30 1.0010 5.05853 4.35957 3.11450 1.62419 1.39977
MA120B-anm-00164.dat -2.6336 2.5160 -3.0016 3.1406 -1.6416 1.2425 30.7 59.5 1.256 3.9 1.436 30 1.0157 6.84629 4.18384 2.92007 2.34456 1.43279
MA120B-anm-00165.dat -2.4496 2.2899 -1.9245 1.5014 -1.4010 1.4650 20.4 42.6 1.181 3.4 1.224 30 0.9984 5.13310 3.75602 2.76580 1.85592 1.35803
MA120B-anm-00166.dat -2.1694 2.5453 -3.0543 2.3407 -1.5850 1.2155 29.8 54.8 1.180 3.8 1.194 30 0.9975 5.44501 4.62712 2.88752 1.88570 1.60245
MA120B-anm-00168.dat -2.2093 2.1503 -2.6309 2.3616 -1.4560 1.2209 26.1 49.8 1.169 3.7 1.177 30 1.0006 5.16879 4.46378 2.91005 1.77619 1.53392
MA120B-anm-00170.dat -3.2617 3.3782 -2.4935 2.6166 -1.4132 1.2776 43.5 76.0 1.271 4.4 1.462 30 0.9967ÿ 7.29360 5.10365 2.57103 2.83684 1.98507ÿ
