Slab-anm-000025.dat     -8.89099453     11.04141561     -4.58565969      7.30768616    -17.08992308     15.39779106   2743.65170434   1281.66073046 1.35229  17.36908  1.74670    26   0.99452   32.526109    20.012737    11.150791     2.916933     1.794737
Slab-anm-000026.dat     -9.32760245     10.35673753     -7.68893998      7.41862222    -14.15098130     12.81077259   3266.13088992   1283.76126895 1.20590  18.40821  1.34783    26   0.97677   28.175951    20.317365    11.723250     2.403425     1.733083
Slab-anm-000027.dat    -10.32712095     10.84338683     -7.19348260      5.49174359    -13.57752592     14.60398960   3533.75502644   1342.16819125 1.19628  18.89786  1.34558    26   0.99986   29.280225    22.598331    12.624463     2.319324     1.790043
Slab-anm-000028.dat     -6.16302197      7.63849803     -9.17724165     14.30059865    -12.71489402     11.79917830   3017.05206219   1515.43106744 1.50083  17.92784  1.40740    14   1.00080   27.283944    25.007139    14.336134     1.903159     1.744343
Slab-anm-000029.dat     -8.01192675      7.81337780     -9.52356124     10.55118622    -16.59996997     17.72300589   4341.96205025   1571.31529618 1.22083  20.24087  1.52054    26   0.99987   35.174441    20.065678    12.258462     2.869401     1.636884
Slab-anm-000030.dat     -7.01091066      8.20864254     -8.65864033     10.38823692    -14.20141092     14.40498681   3514.50175208   1337.40191192 1.19638  18.86348  1.35606    26   0.97165   28.753891    21.355039    11.623740     2.473721     1.837192
Slab-anm-000031.dat     -9.02253638      8.28102649     -5.24950588      6.70953501    -11.88320518     12.66445088   2363.80064385   1137.49620543 1.32554  16.52738  1.28432    14   1.02037   25.677028    18.150025    12.371954     2.075422     1.467030
Slab-anm-000032.dat     -7.39413715      6.91583484    -11.26253728     12.25983144    -11.21774233     14.09932832   2736.95014271   1198.17842020 1.26627  17.35493  1.41557    26   1.00369   26.156363    24.364069     8.959807     2.919300     2.719263
Slab-anm-000033.dat    -11.19581865     11.22577482     -8.35497139      7.52908222    -16.60136676     18.64030459   5268.04310472   1781.46976113 1.21673  21.58822  1.44665    26   1.00017   35.854571    23.359779    11.852051     3.025179     1.970948
Slab-anm-000034.dat    -10.10099626      9.83494743     -7.92090521      8.36681257    -11.64091227     10.79359702   2764.69561531   1178.09253560 1.23670  17.41337  1.21721    24   1.01593   23.998014    23.062250    12.739926     1.883686     1.810234
Slab-anm-000035.dat     -6.92556975      7.66132822     -6.04770792      5.89760480    -14.20668624     14.48708167   2544.00990425   1062.20134717 1.17863  16.93714  1.44900    26   1.00002   28.750981    14.668950    12.731243     2.258301     1.152201
Slab-anm-000036.dat     -6.02458295      8.05698955     -7.11365315      7.94087606    -12.21144820     12.51584525   2071.93443600    919.67775638 1.17013  15.81706  1.32532    26   0.99963   24.756519    15.755995    12.408415     1.995139     1.269783
Slab-anm-000037.dat     -9.47331641      9.43247329     -8.68448768      7.75605310    -11.50646925     13.59187159   2659.74480888   1141.47104259 1.22957  17.19018  1.43829    26   1.00014   26.007159    21.276273     9.201073     2.826535     2.312369
