Name  xlow xhi ylow yhi zlow zhi  volume  surf._area  norm_surf_area Equiv._sph._diam.  Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thickness(mm) L/T W/T
AZ0.5-anm-00109.dat -3.7442 4.2429 -4.7069 4.0257 -3.3214 3.0399 145.0 182.0 1.362 6.5 1.365 30 0.9508 10.9687 8.2525 4.4563 4.4563 3.7863
AZ0.5-anm-00155.dat -3.4993 3.5740 -3.4305 3.8758 -5.6083 4.5590 148.0 177.0 1.310 6.6 1.375 30 1.0145 11.2275 7.4507 4.7862 4.7862 4.5616
AZ0.5-anm-00156.dat -5.5422 5.4746 -5.0562 4.6501 -4.5404 3.6457 152.0 207.0 1.503 6.6 1.811 24 0.9815 12.5519 10.1548 3.2222 3.2222 4.6859
AZ0.5-anm-00126.dat -3.8377 4.6199 -4.0723 4.4787 -2.6472 3.1231 148.0 178.0 1.313 6.6 1.309 28 0.9603 9.2897 8.3597 4.1666 4.1666 1.9520
AZ0.5-anm-00162.dat -3.9342 4.0165 -4.8564 5.4707 -2.7395 1.9330 152.0 183.0 1.331 6.6 1.368 22 0.9879 10.4389 8.5866 4.9685 4.9685 3.0921
AZ0.5-anm-00111.dat -4.0759 3.8707 -5.0372 3.6549 -2.4490 2.9239 153.0 168.0 1.213 6.6 1.213 28 0.9986 9.3261 8.2773 5.4758 5.4758 4.4563
AZ0.5-anm-00099.dat -3.0641 2.6127 -4.8741 5.0010 -4.7678 3.8489 154.0 184.0 1.322 6.7 1.418 26 1.0262 10.6483 8.0712 4.3572 4.3572 3.2222
AZ0.5-anm-00140.dat -8.9961 7.5736 -1.9497 2.6675 -3.9106 4.3032 160.0 222.0 1.555 6.7 2.860 22 0.9841 17.3443 6.7832 3.3885 3.3885 4.1666
AZ0.5-anm-00004.dat -2.7458 3.7647 -5.0919 3.5796 -4.0859 4.5123 157.0 193.0 1.374 6.7 1.480 18 0.9951 11.2358 9.6574 4.1122 4.1122 4.9685
AZ0.5-anm-00082.dat -7.3982 6.1564 -3.9887 3.6151 -4.2092 3.9878 160.0 226.0 1.589 6.7 1.939 18 0.9811 13.8390 9.4175 3.1618 3.1618 5.4758
AZ0.5-anm-00122.dat -4.5389 4.1261 -5.0703 6.5878 -2.9076 3.2590 166.0 206.0 1.409 6.8 1.480 26 1.0028 11.9802 8.7779 5.1403 5.1403 4.3572
AZ0.5-anm-00105.dat -4.5627 5.1227 -5.4332 4.5841 -3.8231 3.3074 162.0 213.0 1.481 6.8 1.644 28 1.0206 11.6621 10.4129 3.8239 3.8239 3.3885
AZ0.5-anm-00115.dat -3.0310 2.7606 -5.9634 6.2603 -2.7056 3.2974 162.0 187.0 1.304 6.8 1.505 26 1.0216 12.4754 6.3904 5.2804 5.2804 4.1122
AZ0.5-anm-00181.dat -4.5035 4.3601 -4.4225 3.8884 -5.2150 4.4606 165.0 192.0 1.320 6.8 1.680 30 0.9693 12.7781 5.8386 5.5398 5.5398 3.1618
