Cubic-anm-000001.dat     -9.77660914     11.76239890    -11.19690980     11.10995284    -14.31737887     12.80151992   4540.03169706   1536.61826669 1.15889  20.54408  1.30743    26   1.00000   31.865548    20.735367    15.339535     2.077348     1.351760
Cubic-anm-000002.dat    -10.05106158     11.15713368    -10.10047816     10.26087175    -15.27914028     14.16317400   5234.82669613   1611.62565301 1.10538  21.54275  1.14273    26   0.99727   31.375845    22.744877    19.779919     1.586247     1.149897
Cubic-anm-000003.dat    -11.83815533      9.31224788     -9.64354434     10.09613879    -10.81738537     12.71994648   4426.20901939   1443.56829464 1.10730  20.37094  1.12019    26   0.99997   28.110683    22.660851    18.821080     1.493574     1.204014
Cubic-anm-000004.dat    -11.14288291     12.36461183     -9.36031609      9.95286428    -13.46574179     12.24340618   4067.95894346   1433.29958582 1.16306  19.80581  1.27590    26   0.99982   30.591515    21.886773    14.413010     2.122493     1.518543
Cubic-anm-000005.dat     -8.92424489      9.37030255    -10.63084885      8.93148711     -9.77500581     10.63960290   2902.29074195   1207.86257625 1.22755  17.69759  1.23206    26   0.99988   26.127107    22.375801    13.287251     1.966329     1.684005
Cubic-anm-000006.dat     -9.00005525      9.34000776     -9.62820992      9.82969343     -9.59831966     12.73440675   3910.31150046   1301.19361547 1.08405  19.54659  1.06872    26   1.00010   24.384723    22.409332    17.111519     1.425047     1.309605
Cubic-anm-000007.dat     -8.76298708     10.54821925    -11.13033277     12.44317246    -14.35812985     12.88763524   5932.16410805   1706.55158264 1.07686  22.45975  1.09346    26   0.99998   28.613547    25.224316    19.322882     1.480812     1.305412
Cubic-anm-000008.dat     -9.80486763     10.10216456     -8.83841473      8.80650173     -9.22542907     12.80374166   2430.07576306   1049.06264222 1.20016  16.68042  1.36626    26   1.01051   27.276838    18.093869    11.479123     2.376213     1.576241
Cubic-anm-000009.dat    -10.98283956      9.71769587     -9.81096769      8.63363347     -6.69235878      9.93920775   2602.35316332   1088.90705048 1.19013  17.06564  1.17872    26   1.00131   24.713517    20.176909    17.108746     1.444496     1.179333
Cubic-anm-000010.dat     -8.69710803      9.12910114     -9.74746731     10.29809605     -9.71348314     11.55203641   3369.32137329   1239.34484570 1.14028  18.60007  1.10722    26   1.00049   25.501589    22.934419    18.195334     1.401546     1.260456
Cubic-anm-000011.dat    -12.23594042     11.88654116     -7.28976302      8.91275150    -11.69491828     15.75958814   3633.35036568   1343.87845050 1.17581  19.07376  1.26133    26   0.99492   30.473919    21.797615    14.858542     2.050936     1.467009
Cubic-anm-000012.dat     -9.09676683      9.20817879     -8.69715716      7.21046481    -11.99034724     14.20900754   4016.03456064   1381.97657712 1.13106  19.72118  1.18145    26   0.99994   28.217970    21.243344    15.766498     1.789742     1.347372
Cubic-anm-000013.dat     -7.99796156      7.31668252     -7.62223905      6.54159690    -10.26451032     10.67040460   2148.95607881    923.36774445 1.14658  16.01067  1.22643    26   1.00180   22.626801    19.470277    11.812742     1.915457     1.648244
Cubic-anm-000014.dat     -9.45719038     11.94647727     -9.62989449     11.73572077     -9.66048400      9.14969085   2970.66624425   1169.08615175 1.16984  17.83549  1.27642    26   1.00066   27.528937    18.219091    12.985172     2.120029     1.403069
Cubic-anm-000015.dat     -8.43155905     10.12446521     -8.61352523     10.95091004     -6.80024282      8.85817171   2350.04649682   1031.72799775 1.20697  16.49526  1.23976    26   1.00245   23.799423    21.794900    12.489105     1.905615     1.745113
Cubic-anm-000016.dat    -12.17014669     11.92077265     -9.60633761      8.74103554     -7.13389224      7.68292224   2585.02668225   1050.10765795 1.15285  17.02768  1.22939    26   1.00120   24.424481    15.416369    14.454130     1.689793     1.066572
Cubic-anm-000017.dat    -10.85277871     13.83529467     -9.53300287      9.43993112    -10.51410802      9.37964728   3939.21755425   1376.42344495 1.14111  19.59463  1.17471    26   1.00046   28.076629    18.801599    18.460675     1.520889     1.018468
Cubic-anm-000018.dat     -9.06238438      8.93452730     -9.07329958      8.69967803     -9.94093511     13.92044794   2829.24206126   1178.52687972 1.21827  17.54785  1.19956    26   1.00106   26.512811    20.042159    16.790573     1.579030     1.193656
Cubic-anm-000019.dat    -12.14178582     10.70026773     -9.42285749      9.29351139     -9.59568281      9.41516242   3184.64597955   1210.84202887 1.15672  18.25384  1.17028    26   0.99528   26.750090    20.501197    15.182679     1.761882     1.350302
Cubic-anm-000020.dat     -8.68227961      8.84731989    -11.22536318     10.56398708     -7.60849822      9.67867204   2658.67580790   1046.25143984 1.12731  17.18788  1.13676    26   1.00214   24.557203    17.519246    16.612638     1.478224     1.054573
Cubic-anm-000021.dat     -9.03180968      9.07541144     -9.77373950      9.73777217     -6.78888000      7.44030936   2203.57949575    887.59467984 1.08387  16.14520  1.08468    26   1.00000   20.081782    17.613297    16.411825     1.223617     1.073208
Cubic-anm-000022.dat     -7.26031706      6.94736999    -11.36512512      9.21435615    -13.77095176     15.58331505   3634.02402756   1338.01429491 1.17054  19.07493  1.29724    26   1.00460   29.830884    21.206908    13.982294     2.133476     1.516697
Cubic-anm-000023.dat    -10.93799876     10.69360383     -9.80537429     10.52384069    -10.88215817     12.11646053   3944.19431035   1320.35924398 1.09371  19.60288  1.17516    26   1.00008   28.053588    20.226440    15.175214     1.848645     1.332860
Cubic-anm-000024.dat     -9.74231220      9.81216414    -10.56327748     10.06511382    -13.77401080     13.46210353   4532.82357286   1475.57853668 1.11404  20.53320  1.11916    26   0.99994   27.213271    22.059957    20.224424     1.345565     1.090758
