Name xlow xhi ylow yhi zlow zhi volume surf._area norm_surf_area Equiv._sph._diam. Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thick(mm) L/T W/T
Ottawa-sand-anm-20027.dat	-0.9187	0.8063	-1.5795	1.7505	-1.7505	1.6740	8.5470	25.3753	1.255	2.5367	1.318	28	0.9876	3.6009	2.7324	1.6575	2.172432	1.648506
Ottawa-sand-anm-20028.dat	-0.7531	0.8783	-1.3145	1.1977	-1.4317	1.2765	3.9892	15.5427	1.278	1.9677	1.266	20	1.0272	2.8072	2.6613	1.5563	1.803765	1.710045
Ottawa-sand-anm-20029.dat	-1.3333	1.2540	-1.4151	1.8882	-1.4507	1.5665	11.6147	28.5983	1.153	2.8098	1.102	28	1.0471	3.5038	3.2025	2.6271	1.333701	1.219041
Ottawa-sand-anm-20030.dat	-1.3597	1.1071	-0.8041	1.1233	-1.6420	1.6722	4.6262	18.6336	1.388	2.0673	1.52	24	1.0094	3.4880	2.6619	1.2593	2.769784	2.113837
Ottawa-sand-anm-20031.dat	-1.5026	1.6549	-1.3955	1.4438	-2.0722	2.3598	16.7456	37.6274	1.189	3.1742	1.224	26	0.9809	4.7228	3.1990	3.0115	1.568236	1.062246
Ottawa-sand-anm-20032.dat	-1.5178	1.5273	-1.4069	1.3940	-1.2187	1.4200	7.5737	22.1838	1.189	2.4365	1.195	28	1.0214	3.4474	3.0554	1.9506	1.767386	1.566403
Ottawa-sand-anm-20033.dat	-1.4280	1.5070	-1.7827	1.7748	-1.7655	1.8019	11.6587	29.9760	1.206	2.8133	1.222	28	0.9968	3.9537	3.5586	1.7877	2.211664	1.990633
Ottawa-sand-anm-20034.dat	-0.9504	1.0618	-1.4407	1.4493	-1.2494	1.2997	5.6655	18.4909	1.203	2.2118	1.205	24	1.0247	3.0797	2.4329	1.8309	1.682088	1.328855
Ottawa-sand-anm-20035.dat	-1.3885	1.1650	-1.1308	1.0972	-1.3686	1.1439	6.0246	18.4579	1.153	2.2576	1.118	26	1.0238	3.0217	2.3346	2.2295	1.355322	1.047155
Ottawa-sand-anm-20036.dat	-1.0197	1.2167	-1.2571	1.2718	-1.0520	1.0282	4.6342	15.2554	1.135	2.0685	1.078	28	1.0146	2.6161	2.2674	2.0591	1.270522	1.101184
Ottawa-sand-anm-20037.dat	-1.4731	1.5875	-1.5875	1.5194	-1.3795	1.3119	7.2927	22.8670	1.257	2.4060	1.308	28	0.9588	3.7467	2.7489	1.8816	1.991255	1.46099
Ottawa-sand-anm-20038.dat	-1.0785	1.2580	-0.8757	0.9457	-1.0067	0.9377	2.9563	11.9142	1.196	1.7807	1.137	28	0.9831	2.4425	2.0132	1.5763	1.549536	1.277221
Ottawa-sand-anm-20039.dat	-2.4696	2.4447	-2.3766	2.4287	-2.5613	2.5264	52.8461	75.2461	1.105	4.6559	1.109	28	1.0151	5.9054	5.0924	3.3830	1.745628	1.505296
Ottawa-sand-anm-20040.dat	-1.3780	1.3417	-2.0277	1.8976	-1.9981	1.6290	18.9192	38.0362	1.108	3.3060	1.111	28	1.0307	4.2816	3.6807	2.5007	1.712181	1.47188
Ottawa-sand-anm-20041.dat	-1.0759	0.9829	-0.7432	0.8243	-1.1760	1.0315	2.7754	11.1406	1.166	1.7436	1.147	24	1.0132	2.3365	1.8911	1.5796	1.47921	1.197229
Ottawa-sand-anm-20042.dat	-0.5841	0.6651	-1.2192	1.0701	-0.7943	0.7889	1.6125	8.5660	1.288	1.4549	1.387	22	0.9859	2.3373	1.4531	1.1482	2.035682	1.265618
Ottawa-sand-anm-20043.dat	-1.3195	1.3028	-1.2770	1.1678	-1.7942	1.4599	7.6260	22.0727	1.178	2.4421	1.236	28	1.0182	3.6211	2.3112	1.8799	1.926215	1.22943
Ottawa-sand-anm-20044.dat	-0.6255	0.7553	-0.6545	0.6329	-0.7566	0.7662	0.9164	5.7901	1.269	1.2051	1.136	22	0.9647	1.6728	1.3647	1.1288	1.481859	1.20892
