0.5 5.0135 1.9886 5.2691 0.3248
1.5 5.3582 2.0926 5.5546 0.3272
2.5 5.9358 2.3338 6.1902 0.3262
3.5 6.3724 2.5443 6.7364 0.3238
4.5 6.6760 2.7093 7.1593 0.3213
5.5 6.8602 2.8133 7.4249 0.3196
6.5 6.9941 2.8740 7.5834 0.3193
7.5 7.2293 3.0132 7.9369 0.3170
8.5 7.5015 3.1864 8.3736 0.3140
9.5 7.4906 3.2368 8.4879 0.3111
10.5 7.4837 3.2637 8.5484 0.3096
11.5 7.6336 3.3554 8.7798 0.3083
12.5 7.6492 3.3436 8.7551 0.3092
13.5 7.7481 3.3689 8.8273 0.3101
14.5 7.8467 3.4802 9.0958 0.3068
15.5 7.9295 3.6194 9.4242 0.3019
16.5 7.9413 3.5542 9.2783 0.3053
17.5 7.9943 3.4509 9.0504 0.3113
18.5 7.9723 3.5158 9.1957 0.3078
19.5 8.0744 3.5218 9.2242 0.3096
20.5 8.2098 3.6642 9.5689 0.3057
21.5 8.2377 3.6514 9.5440 0.3069
22.5 8.3678 3.6952 9.6633 0.3075
23.5 8.3412 3.6484 9.5526 0.3091
24.5 8.3205 3.6411 9.5327 0.3091
25.5 8.3130 3.6717 9.6016 0.3075
26.5 8.3743 3.6805 9.6305 0.3083
27.5 8.4125 3.7081 9.6993 0.3078
28.5 8.4750 3.7080 9.7081 0.3091
29.5 8.5049 3.7502 9.8088 0.3078
30.5 8.5863 3.9230 10.2136 0.3017
31.5 8.5110 3.7647 9.8429 0.3073
32.5 8.4706 3.8213 9.9653 0.3039
33.5 8.4135 3.7775 9.8574 0.3047
34.5 8.3925 3.8063 9.9193 0.3030
35.5 8.3870 3.8821 10.0895 0.2995
36.5 8.4327 3.8804 10.0931 0.3005
37.5 8.3737 3.7661 9.8253 0.3044
38.5 8.3640 3.7263 9.7334 0.3060
39.5 8.3974 3.6527 9.5705 0.3101
40.5 8.4142 3.7953 9.8978 0.3039
41.5 8.5238 3.9642 10.2963 0.2987
42.5 8.5425 3.9598 10.2895 0.2992
43.5 8.6608 3.9711 10.3338 0.3011
44.5 8.7105 4.0078 10.4246 0.3005
45.5 8.7303 4.0274 10.4719 0.3001
46.5 8.7024 3.9872 10.3768 0.3013
47.5 8.7769 4.0904 10.6213 0.2983
48.5 8.8278 4.1553 10.7752 0.2966
49.5 8.7178 3.9029 10.1884 0.3052
50.5 8.6959 3.9431 10.2762 0.3030
51.5 8.7852 4.0827 10.6052 0.2988
52.5 8.7927 4.1648 10.7907 0.2955
53.5 8.8973 4.0802 10.6175 0.3011
54.5 8.9537 4.1840 10.8603 0.2978
55.5 8.9897 4.1893 10.8782 0.2983
56.5 8.9957 4.2293 10.9689 0.2968
57.5 8.9810 4.2206 10.9470 0.2968
58.5 8.9436 4.2581 11.0246 0.2946
59.5 8.9778 4.2116 10.9263 0.2972
60.5 8.9767 4.2213 10.9478 0.2967
61.5 9.0087 4.2293 10.9710 0.2970
62.5 9.0113 4.2275 10.9674 0.2972
63.5 9.1460 4.3393 11.2403 0.2952
64.5 9.2353 4.4127 11.4193 0.2939
65.5 9.2775 4.4467 11.5024 0.2934
66.5 9.2497 4.4600 11.5272 0.2923
67.5 9.2313 4.3648 11.3116 0.2958
68.5 9.2792 4.4307 11.4669 0.2940
69.5 9.3121 4.5160 11.6626 0.2913
70.5 9.4371 4.5462 11.7515 0.2925
71.5 9.4239 4.4217 11.4709 0.2971
72.5 9.2668 4.3044 11.1820 0.2989
73.5 9.2064 4.2980 11.1577 0.2980
74.5 9.2446 4.3907 11.3718 0.2950
75.5 9.2870 4.4020 11.4042 0.2953
76.5 9.2689 4.3903 11.3750 0.2955
77.5 9.0702 4.2520 11.0321 0.2973
78.5 8.9645 4.1784 10.8495 0.2983
79.5 8.9145 4.1241 10.7193 0.2996
80.5 8.8735 4.0741 10.6001 0.3009
81.5 8.8243 4.1547 10.7732 0.2965
82.5 8.7365 4.0995 10.6350 0.2971
83.5 8.7156 4.1007 10.6344 0.2966
84.5 8.7466 4.1419 10.7317 0.2955
85.5 8.8204 4.0722 10.5873 0.2999
86.5 8.8097 4.1503 10.7611 0.2964
87.5 8.8410 4.1225 10.7038 0.2982
88.5 9.0205 4.2425 11.0026 0.2967
89.5 9.1719 4.3149 11.1899 0.2967
90.5 9.1052 4.2478 11.0283 0.2981
91.5 9.2119 4.3473 11.2691 0.2961
92.5 9.0433 4.2680 11.0635 0.2961
93.5 9.0428 4.2624 11.0510 0.2963
94.5 8.9756 4.1744 10.8422 0.2987
95.5 8.9757 4.2174 10.9390 0.2969
96.5 8.9440 4.1959 10.8854 0.2972
97.5 8.9334 4.1554 10.7928 0.2986
98.5 8.8810 4.1605 10.7957 0.2974
