Name  xlow xhi ylow yhi zlow zhi  volume  surf._area  norm_surf_area Equiv._sph._diam.  Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thickness(mm) L/T W/T
IN-coarse-anm-00095.dat -4.7122 4.1830 -5.4871 5.3031 -4.7699 5.8582 277.0 282.0 1.373 8.1 1.352 14 0.9996 12.51698 10.67645 6.17360 6.17360 5.76675
IN-coarse-anm-00087.dat -5.6254 4.8955 -4.2762 3.6654 -3.8838 4.1790 274.0 262.0 1.285 8.1 1.150 30 0.9634 11.16257 8.51854 6.54373 6.54373 4.92332
IN-coarse-anm-00143.dat -4.8203 4.7103 -5.1518 4.9503 -4.0055 4.3207 288.0 274.0 1.300 8.2 1.239 30 1.0236 12.35707 8.24706 6.04760 6.04760 6.54373
IN-coarse-anm-00221.dat -4.3888 5.3130 -3.1421 4.4343 -6.5079 5.2832 291.0 273.0 1.286 8.2 1.265 18 1.0211 12.31586 9.94850 7.57035 7.57035 6.17360
IN-coarse-anm-00085.dat -2.9682 3.6973 -6.1751 6.8343 -7.2003 7.2737 291.0 325.0 1.529 8.2 2.009 26 0.9780 17.64249 9.39954 3.94306 3.94306 6.54373
IN-coarse-anm-00083.dat -5.9945 5.3234 -4.8269 5.0065 -3.9236 4.4089 300.0 278.0 1.282 8.3 1.204 26 1.0021 11.72838 9.13422 6.92763 6.92763 3.94306
IN-coarse-anm-00031.dat -5.1149 5.7020 -3.9303 4.4164 -5.8503 4.1050 300.0 282.0 1.302 8.3 1.253 22 0.9684 11.47785 10.66950 7.05197 7.05197 6.04760
IN-coarse-anm-00158.dat -5.9813 6.1067 -5.1732 4.4308 -3.5860 3.9424 302.0 295.0 1.354 8.3 1.433 26 0.9946 14.39086 9.59401 5.48948 5.48948 7.57035
IN-coarse-anm-00223.dat -2.5050 2.2164 -6.0230 4.7672 -6.2229 7.1265 303.0 309.0 1.416 8.3 1.669 24 0.9692 14.55187 12.64173 3.97175 3.97175 3.94306
IN-coarse-anm-00088.dat -4.6833 4.5981 -4.7941 5.7330 -5.1395 4.6943 316.0 280.0 1.249 8.4 1.206 28 1.0026 12.34292 8.23908 7.96427 7.96427 5.48948
IN-coarse-anm-00210.dat -5.9887 7.1433 -3.3819 3.8698 -5.5050 5.1663 314.0 305.0 1.364 8.4 1.597 28 1.0238 16.04846 8.46792 5.33170 5.33170 3.97175
IN-coarse-anm-00082.dat -5.8249 6.9197 -6.1374 5.5429 -4.4899 4.2241 319.0 329.0 1.457 8.5 1.685 18 1.0021 14.55956 11.85626 4.29018 4.29018 5.33170
IN-coarse-anm-00098.dat -3.5649 3.6627 -5.3599 5.8282 -5.7100 4.1765 339.0 287.0 1.222 8.6 1.270 28 1.0323 12.35720 11.22107 5.34930 5.34930 4.29018
IN-coarse-anm-00014.dat -3.5654 2.8640 -8.6201 6.1858 -5.7014 5.1518 346.0 334.0 1.400 8.7 1.743 26 0.9616 16.75586 10.16714 4.99232 4.99232 5.34930
IN-coarse-anm-00045.dat -6.2121 4.8466 -4.2317 3.2053 -5.7423 5.8830 355.0 304.0 1.253 8.8 1.159 30 0.9511 11.76245 11.13129 7.52540 7.52540 4.99232
IN-coarse-anm-00030.dat -6.9068 5.9767 -4.4895 5.5804 -4.9560 5.8886 365.0 356.0 1.443 8.9 1.405 30 0.9527 14.99882 10.81652 6.46294 6.46294 7.52540
IN-coarse-anm-00091.dat -5.6791 5.7420 -5.8067 5.3157 -5.3211 5.4122 369.0 326.0 1.311 8.9 1.385 26 1.0332 14.55827 9.10780 6.59601 6.59601 7.52540
IN-coarse-anm-00067.dat -5.2305 5.8124 -6.6213 6.4522 -3.9602 2.7339 386.0 342.0 1.335 9.0 1.425 24 1.0261 13.70224 11.86645 5.60723 5.60723 6.59601
IN-coarse-anm-00141.dat -4.1977 5.3591 -6.1255 5.9691 -5.3163 4.7229 393.0 330.0 1.271 9.1 1.223 24 1.0261 12.85170 10.38999 8.06444 8.06444 5.60723
IN-coarse-anm-00218.dat -6.2386 6.2253 -6.5022 5.8529 -4.9134 5.4219 394.0 369.0 1.419 9.1 1.576 26 1.0049 14.51588 12.53891 4.64363 4.64363 5.60723
IN-coarse-anm-00013.dat -6.1277 4.8130 -4.2992 6.1495 -6.7362 7.0730 402.0 365.0 1.386 9.2 1.461 24 1.0030 16.29802 12.12184 5.71636 5.71636 4.64363
IN-coarse-anm-00056.dat -6.3987 7.0216 -4.5723 4.7609 -4.4466 4.2913 421.0 359.0 1.321 9.3 1.362 28 0.9734 13.69548 11.29779 5.61571 5.61571 5.71636
IN-coarse-anm-00153.dat -6.0426 5.6337 -5.4921 5.4074 -6.0088 5.5861 452.0 383.0 1.344 9.5 1.470 30 1.0262 15.42753 11.42636 5.34386 5.34386 5.61571
