Name xlow xhi ylow yhi zlow zhi volume surf._area norm_surf_area Equiv._sph._diam. Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thick(mm) L/T W/T
MA113AB-2-fine-anm-00462.dat -0.3255 0.3195 -0.2131 0.2502 -0.1400 0.1292 0.0 0.7 1.274 0.4 1.324 26 0.9627 0.64948 0.44470 0.27549 2.35750 1.61420
MA113AB-2-fine-anm-00463.dat -0.1829 0.2698 -0.2281 0.2537 -0.1318 0.1400 0.0 0.5 1.226 0.4 1.149 22 1.0332 0.49164 0.46725 0.27132 1.81205 1.72215
MA113AB-2-fine-anm-00464.dat -0.3130 0.3333 -0.2963 0.3031 -0.1434 0.1564 0.1 0.9 1.239 0.5 1.218 28 0.9550 0.66293 0.55858 0.30812 2.15156 1.81290
MA113AB-2-fine-anm-00465.dat -0.2434 0.2539 -0.3503 0.4282 -0.1632 0.2360 0.1 0.9 1.280 0.5 1.544 16 0.9782 0.79254 0.48709 0.38151 2.07737 1.27675
MA113AB-2-fine-anm-00466.dat -0.2354 0.2552 -0.2332 0.2780 -0.1491 0.1509 0.0 0.6 1.237 0.4 1.109 28 1.0359 0.51625 0.48937 0.30190 1.71003 1.62098
MA113AB-2-fine-anm-00467.dat -0.2259 0.2087 -0.3315 0.2840 -0.1610 0.1740 0.0 0.7 1.257 0.4 1.222 26 0.9862 0.65263 0.45697 0.35846 1.82066 1.27480
MA113AB-2-fine-anm-00468.dat -0.2786 0.2345 -0.2693 0.2603 -0.1472 0.1518 0.0 0.7 1.199 0.4 1.120 26 1.0019 0.56632 0.47852 0.31211 1.81450 1.53319
MA113AB-2-fine-anm-00469.dat -0.2618 0.2341 -0.2738 0.2399 -0.1543 0.1466 0.0 0.7 1.199 0.4 1.158 24 0.9952 0.53724 0.51313 0.31596 1.70035 1.62406
MA113AB-2-fine-anm-00471.dat -0.2134 0.2213 -0.2184 0.2348 -0.1690 0.1667 0.0 0.6 1.161 0.4 1.060 22 0.9966 0.51893 0.46197 0.37786 1.37333 1.22260
MA113AB-2-fine-anm-00472.dat -0.2452 0.2697 -0.1996 0.1829 -0.1548 0.1800 0.0 0.6 1.166 0.4 1.087 22 0.9948 0.52507 0.42468 0.37215 1.41091 1.14115
MA113AB-2-fine-anm-00473.dat -0.2174 0.1870 -0.2664 0.2198 -0.1521 0.2132 0.0 0.6 1.202 0.4 1.095 26 1.0172 0.51318 0.43403 0.40059 1.28104 1.08348
MA113AB-2-fine-anm-00474.dat -0.2980 0.3834 -0.2733 0.3409 -0.1520 0.1507 0.1 0.9 1.301 0.5 1.305 28 0.9588 0.74022 0.61270 0.32752 2.26011 1.87074
MA113AB-2-fine-anm-00475.dat -0.2431 0.2453 -0.2490 0.2363 -0.1228 0.1456 0.0 0.6 1.222 0.4 1.195 24 0.9796 0.56177 0.39675 0.27885 2.01459 1.42282
MA113AB-2-fine-anm-00476.dat -0.3600 0.3734 -0.2369 0.2596 -0.1627 0.1705 0.1 0.8 1.233 0.5 1.548 14 0.9700 0.74721 0.48164 0.31850 2.34606 1.51224
