"quartz",2.62,"cement141 psd","Inert filler with the density of alpha-quartz and particle size distribution (PSD) consistent with CCRL Cement 141 from the CCRL Proficiency sample program"
"periclase",3.78,"cement141 psd","Inert filler with density consistent with periclase and particle size distribution of CCRL Cement 141 from the CCRL proficiency sample program"
"corundum",4.05,"cement141 psd","Inert filler with density consistent with corundum and particle size distribution of CCRL Cement 141 from the CCRL proficiency sample program"
