cement152-anm-02090.dat            8.83      -0.306       -1.61        1.19          23       -2.55        1.85       -1.48         6.2       0.792       0.383       0.746       0.485        46.3        33.6        23.5        33.6        23.5       0.596       0.935       0.708       0.658       0.966
cement152-anm-02094.dat            3.94       -6.12       -3.37        0.44          13       0.437      0.0552       0.143        6.76       0.734       0.302        0.66       0.437          26        17.6         9.3        17.3        9.41       0.444       0.859       0.582         0.5        0.93
cement152-anm-02096.dat             6.8       0.315      -0.968      -0.261          13      -0.436       0.686       0.447         5.6       0.875       0.523       0.854       0.394        24.4          21        16.7          21        16.9       0.744       0.979       0.821       0.803        0.99
cement152-anm-02100.dat            6.69        6.77        6.36       -1.17        33.2       -5.54        1.42      -0.722        7.86       0.611       0.202       0.509       0.522        67.1        50.8        14.7        50.6        14.3       0.246       0.669       0.393       0.291       0.867
cement152-anm-02101.dat            4.72       -3.57      -0.451       -1.17          14        1.07      -0.778       0.962        6.33       0.783       0.338       0.719       0.479        27.2          23          11        22.9          11        0.44       0.864       0.579       0.511       0.944
cement152-anm-02102.dat            6.32       0.296       0.467      -0.761        11.5      0.0556      -0.883    5.42e-17        5.72        0.87       0.552       0.849       0.401        22.8        19.1        18.4        19.1        18.4       0.883       0.992        0.92       0.912       0.996
cement152-anm-02105.dat            4.75       0.198       -3.15      -0.603        12.2      0.0856       0.449        1.78        6.13        0.81       0.389       0.761       0.464        23.6        22.1        11.6        21.6        11.4       0.503       0.903       0.632       0.579        0.96
cement152-anm-02108.dat             6.1        11.8           0        1.49          30       0.178        2.83       -2.06        7.01        0.69       0.203       0.531       0.422        60.6        20.6        16.3        20.5        16.6       0.472       0.813       0.606       0.436       0.842
cement152-anm-02109.dat             5.1       -1.58       0.626        1.24        17.7         1.2       0.151      -0.568        6.71       0.727       0.288       0.649       0.454          35        23.5        12.1        23.5        12.1       0.423       0.845       0.564       0.479       0.925
cement152-anm-02113.dat            5.21        9.52           0      -0.599        19.4       -1.58        1.15        3.56        6.66       0.728       0.269       0.634       0.442          39        21.2        12.9        20.9        12.7       0.443       0.845       0.581       0.476       0.907
cement152-anm-02115.dat            5.89        5.81         2.3    3.82e-16          23       -1.46       -3.11     2.1e-16        6.76       0.727       0.256       0.645       0.476        46.4        23.7        14.4        23.7        14.4       0.434       0.836       0.573       0.461       0.898
cement152-anm-02119.dat            6.12      -0.862      -0.474       0.814        12.1       0.196       0.184       0.171        5.89       0.846       0.503       0.822        0.41        23.1        19.2        16.6        19.2        16.6       0.789       0.984       0.854       0.838       0.992
cement152-anm-02120.dat            6.84        12.6        1.59        2.41        24.1       -1.75        0.45        -1.5        6.81       0.721       0.284       0.627       0.528        48.2          37          15          37          15       0.355       0.794       0.501       0.415       0.914
cement152-anm-02122.dat            7.92        1.16           0      -0.147        17.1      -0.557       0.878      -0.338        5.62       0.876       0.464       0.845       0.456        34.5        23.1        19.4        23.1        19.4       0.689       0.954        0.78       0.735       0.972
cement152-anm-02125.dat             3.6          -3        1.19       0.203        10.5       0.939       -1.48      -0.963        6.49       0.738       0.342       0.696        0.34        21.4        11.6        11.6        11.6        11.7       0.741       0.939       0.819       0.749       0.959
cement152-anm-02126.dat             5.5        8.51           0      -0.535        24.9      -0.656        3.44       -1.93        6.63       0.737       0.221       0.644       0.477        50.5        25.4        11.8        25.3          12       0.336       0.761       0.483        0.36       0.863
cement152-anm-02129.dat            4.34      -0.498        1.06       0.463        10.8      -0.365       -1.12      -0.859         6.2       0.794       0.402       0.751       0.391        21.6          17        10.8        16.8        10.7       0.564       0.927       0.682       0.633       0.965
cement152-anm-02133.dat            8.38        2.03         1.9       0.531        19.4       -2.54       -1.85        1.25         5.9       0.833       0.431         0.8       0.436          39        28.6        18.7        28.6        18.7        0.56       0.923       0.679       0.625       0.962
cement152-anm-02136.dat            5.56       -4.86        2.67       0.349        14.4       0.881      -0.484        1.22        5.98       0.818       0.385       0.765       0.481        28.9        26.2          13        26.2          13       0.471       0.885       0.605       0.546       0.953
cement152-anm-02138.dat            16.4       -13.9        1.76      -0.882        42.3        4.07       -2.24        2.95        6.15       0.764       0.388       0.708       0.429        84.8          54        46.8        52.6        46.7         0.7       0.949       0.788       0.735       0.968
cement152-anm-02141.dat            6.23        -2.2      -0.278       -0.28        19.1        2.41        2.26        1.07        6.62       0.743       0.326       0.688       0.401        38.6        21.2        17.3        20.9        16.1       0.567       0.902       0.685       0.596       0.936
cement152-anm-02142.dat            5.17       -4.92       -1.95       0.668        15.6       0.647        3.39      -0.887        6.14       0.797       0.331        0.73       0.457        31.3          18        12.8          18        12.8       0.538       0.898       0.662       0.578       0.937
cement152-anm-02143.dat            7.79        2.07      -0.532       -1.77        21.1       -1.15        2.43        2.87        6.07       0.812        0.37       0.766        0.44        42.4        23.5        22.2        23.5        22.2       0.703       0.937        0.79       0.721       0.957
cement152-anm-02146.dat            6.51        4.12       -2.27    2.88e-16          16      -0.461        1.42       0.284        6.11         0.8       0.406       0.748       0.455        30.8        25.1        14.7        25.1        14.7       0.529       0.914       0.654       0.601       0.962
cement152-anm-02148.dat            7.63        2.52       -2.37      -0.218        14.4        -1.7       0.933       0.911        5.74       0.853       0.531        0.82       0.416        28.7        24.8        18.9        24.6        18.9       0.709       0.973       0.795       0.773       0.987
cement152-anm-02153.dat            5.61        -1.7       0.674       -1.16        15.1       -1.02       -1.61        1.39        5.98       0.822        0.37       0.764       0.443        30.4        16.2          16        16.1          16       0.724       0.935       0.806       0.731       0.955
cement152-anm-02155.dat            6.32        1.82           1       -2.22        16.8       0.687       -2.12        1.84         6.2       0.792       0.375       0.734       0.469        33.8        23.3        18.2        23.3        18.2       0.649       0.948        0.75       0.702        0.97
cement152-anm-02158.dat            6.16       -1.02       0.129       0.749        13.6       0.472      -0.343      0.0367        5.84        0.84       0.454       0.807       0.433          27        25.6        14.4        25.6        13.9       0.528       0.916       0.653       0.605       0.965
cement152-anm-02161.dat            6.58        3.22      -0.826      -0.209        15.9        1.25      -0.688        1.52         5.8       0.849       0.414       0.812       0.488        31.7        23.3        17.4        22.9        17.7       0.656       0.953       0.755       0.714       0.974
cement152-anm-02162.dat            6.09       -3.54        7.53      -0.523        20.6         3.8       -2.09       -1.11        6.58       0.741       0.295       0.669         0.5        41.5          35        14.7          35          15       0.393       0.829       0.536        0.46        0.93
cement152-anm-02163.dat             6.1       -5.29      -0.668       0.674        23.9        2.72        2.56       0.959        6.91       0.693       0.255       0.596       0.527          48        33.7        13.1        33.7        13.1       0.326       0.763       0.473       0.378       0.897
