Name                             IS_Rad        IS_x        IS_y        IS_z      ES_Rad        ES_x        ES_y        ES_z      Acoeff  Sphericity         BSR    Round DP  Round MaxC      Length       Width       Thick          D2          D3    Corey SF         ASF         MPS         ESF     Hofmann
cement152-anm-00004.dat            5.61        2.29       -7.05        1.41        17.7       -1.38        2.18       -1.42        6.63       0.743       0.316       0.671       0.484        34.9        28.1        12.9        28.1          13       0.415       0.845       0.556       0.482       0.935
cement152-anm-00005.dat            5.19        10.5       -1.33        2.02        21.1       -2.19       -4.65        1.32        7.24       0.675       0.246       0.583       0.468        42.4        25.5        11.9        24.6        13.1       0.405       0.825       0.547       0.446       0.906
cement152-anm-00006.dat            4.04       -3.57        1.96     2.5e-16        13.7       0.932       -1.98       0.138        6.58        0.75       0.295       0.672       0.419        27.5        14.6        9.22        14.6        9.22        0.46       0.854       0.596       0.492       0.911
cement152-anm-00010.dat            5.81       -1.06       0.273       -1.73        22.6       -1.61       0.203        1.72         6.4       0.766       0.256       0.684       0.459        46.1        20.4        14.2        20.4        14.2       0.465       0.841         0.6       0.471       0.887
cement152-anm-00012.dat            6.67           7       -2.77      -0.951        23.5      -0.481        7.65        3.04        6.39       0.762       0.284        0.68       0.467        47.6        22.9        15.6        22.9        15.6       0.473       0.853       0.607       0.491       0.901
cement152-anm-00013.dat            3.22        1.13        0.29      -0.379        12.2      0.0629           1    6.14e-17        6.87       0.727       0.264       0.638       0.462        24.5        13.4        8.01        13.3        8.31        0.46       0.856       0.596       0.495       0.914
cement152-anm-00014.dat            5.71       -1.83       0.723     1.2e-16        11.7        1.14        1.07       -2.15        5.84       0.844        0.49       0.819       0.344        23.3        17.3        15.4        16.4        14.4       0.735       0.966       0.814        0.78        0.98
cement152-anm-00018.dat            5.21        3.49        4.21       0.691        16.1      -0.939       -1.13       0.281        6.66       0.726       0.323       0.655       0.437        31.2        25.2        12.4        25.2        12.4        0.44       0.864       0.579        0.51       0.942
cement152-anm-00021.dat            6.18        1.29       -1.56      -0.519        14.1       -1.38          -1       0.216        6.12        0.81       0.439       0.768       0.418        27.8        23.2        14.7        23.2        14.7       0.578       0.935       0.694       0.651       0.971
cement152-anm-00026.dat            5.79       -6.07        -5.7        1.05        30.2      -0.253     3.1e-17       -2.01        7.16       0.687       0.192       0.567       0.488        60.9        28.4        12.9        28.4        12.9        0.31       0.732       0.458       0.326       0.842
cement152-anm-00027.dat            7.18       -6.63      -0.838      -0.845        21.2        3.81      -0.481       -2.79        6.24       0.786       0.338       0.715       0.439        42.6        22.1          20        22.1          20       0.653        0.92       0.753       0.668       0.944
cement152-anm-00028.dat             7.9       0.154        2.45       -2.03        18.8       -1.99       -2.41    1.91e-16        6.08        0.81        0.42       0.764       0.467        37.2        27.1        20.3        26.9        20.8       0.658       0.953       0.757       0.715       0.974
cement152-anm-00032.dat            5.45        2.31      -0.594      -0.456        11.8      -0.144       0.755       0.304         5.7        0.86       0.463       0.825       0.432        23.3        18.5        12.8        18.5        12.8       0.614       0.946       0.722       0.682       0.974
cement152-anm-00033.dat             6.5        4.16      -0.526      -0.801        16.4       -1.86       -1.35       0.438        6.04       0.822       0.396       0.772       0.421        32.9        20.5        19.2        19.7        17.5       0.687       0.943       0.779       0.719       0.963
cement152-anm-00035.dat            4.98       -5.03      -0.635      -0.319        16.4       0.461      -0.557       -2.81        6.56       0.741       0.304       0.668       0.425        32.8        18.6        13.3        18.6        13.3       0.539       0.897       0.662       0.577       0.936
cement152-anm-00036.dat            5.43       -3.07      -0.788       0.605        17.7       -2.56         3.1       -1.31        6.33       0.777       0.307       0.709        0.41        35.2        18.2        12.5          18        12.9       0.515       0.877       0.642       0.539       0.918
cement152-anm-00037.dat            5.02       -3.08      -0.389      -0.797        13.5        1.28      -0.701       0.278        6.32       0.777       0.371        0.72       0.459        27.2        21.7        12.4        21.7        12.4       0.512       0.905        0.64       0.583       0.957
cement152-anm-00038.dat            3.35        10.7        1.35      -0.676        18.9      -0.188        2.99       0.189        7.44       0.639       0.177       0.519       0.465          38        19.8        8.15        19.7        8.12       0.297       0.723       0.445       0.323       0.852
cement152-anm-00041.dat            5.49       0.127      -0.668       0.935          15       -1.18       -1.85      -0.868        6.16       0.792       0.366       0.744       0.409        30.1        17.8        14.3        17.8        14.3       0.619       0.927       0.726       0.657       0.954
cement152-anm-00043.dat            5.72        2.76      -0.349       0.175        14.1      -0.828       0.778      -0.369        6.04       0.826       0.406       0.784       0.418        28.4        19.9          14        19.9          14       0.589       0.931       0.703       0.648       0.963
cement152-anm-00053.dat            5.17        3.83        1.52        1.06        16.4       -1.39       0.175       -1.69        6.36       0.781       0.316       0.712       0.448        32.8          19        15.4          19        14.6       0.583       0.914       0.698       0.621       0.946
cement152-anm-00058.dat            7.82      -0.679       -3.56      -0.228        17.1      -0.976       0.537        2.81        5.93       0.828       0.458       0.792       0.463        33.5        27.8        20.1        27.7        19.6       0.644       0.956       0.745       0.712       0.979
cement152-anm-00063.dat            4.01       -1.87        1.36       0.291        19.1        1.45        3.07      -0.872        7.07       0.698        0.21        0.61       0.514        38.8        24.3          10        24.3          10       0.326       0.761       0.474        0.37       0.887
cement152-anm-00065.dat            4.22      -0.878        -4.6       0.592        14.3     -0.0938        1.49      -0.285         6.6       0.744       0.295       0.668         0.5        28.3        27.2        9.56        27.2        9.56       0.344       0.786       0.491       0.409       0.918
cement152-anm-00070.dat            3.89       -7.79          -2       0.506        15.2       0.359       -1.88        2.04        6.55        0.73       0.257       0.639       0.448        30.4        16.5        9.19        16.5        9.19        0.41       0.825       0.552       0.444         0.9
cement152-anm-00072.dat            4.23        3.65       0.938      -0.477        11.6        -2.1       0.831       -0.43        6.28       0.755       0.365       0.682        0.36        22.9        12.2        12.1        12.2        12.1       0.725       0.935       0.807       0.733       0.956
cement152-anm-00077.dat            6.05        4.04        3.79      -0.349        19.8       -1.17       -2.49          -2        6.72       0.724       0.306       0.666       0.444        39.4        24.5          14        24.5          14       0.452       0.861       0.589       0.502       0.926
cement152-anm-00079.dat            5.15      -0.356        1.87        0.12        15.7       -1.23        -2.6       -1.58         6.7       0.737       0.327       0.682       0.455        29.7        22.3        15.1        22.2        14.9       0.578       0.931       0.694       0.644       0.966
cement152-anm-00080.dat            8.55         2.2        -1.6       0.344        19.1        1.79        1.68       -2.96        6.16       0.807       0.448       0.778       0.398        37.3        26.3        22.5        26.3        22.5        0.72       0.964       0.803       0.767       0.979
cement152-anm-00083.dat            6.19      -0.789       -1.68      -0.602        20.4        1.94        2.34       0.384        6.67       0.741       0.303       0.678       0.436        41.1        21.1          18        20.8        14.8       0.508       0.873       0.636       0.531       0.915
cement152-anm-00084.dat             5.2      -0.426        -0.4       0.622        12.8       0.611        -1.3       -3.05        6.45       0.776       0.405       0.743       0.377        25.9        17.4        14.3        17.4        14.3       0.674       0.951       0.769       0.722       0.971
cement152-anm-00085.dat            4.78       -7.47       -2.96       -1.01        17.5      -0.394        2.07        0.54        7.22       0.684       0.274       0.593       0.492        35.1          28        10.4          28        10.4       0.332       0.773        0.48       0.392       0.908
cement152-anm-00087.dat               7        2.35         2.2      -0.614        19.7        1.71        2.69       0.402        6.03       0.809       0.356       0.758       0.492        39.3        26.4        15.7        25.8        15.8       0.496       0.888       0.626       0.551       0.941
cement152-anm-00089.dat            6.51        2.72       -3.29        -1.1        15.1      -0.714       -1.52        2.64        5.75        0.85       0.432       0.814       0.466        30.2          24        15.7          24        15.7       0.585       0.936       0.699       0.655        0.97
cement152-anm-00094.dat            7.74        1.56        2.46      -0.749          16      -0.305      -0.649       0.764        5.71        0.86       0.484       0.826       0.479        31.8        26.9        19.3        26.9        19.3       0.659       0.961       0.757       0.728       0.982
cement152-anm-00095.dat            3.39        7.39           0       -1.41        12.2      -0.218        1.14        -1.6        7.05       0.638       0.277       0.561       0.363        24.6        13.7        13.2        13.2        14.1        0.78       0.942       0.847       0.779       0.961
cement152-anm-00096.dat            3.71        -3.8       0.975       0.247        12.7         1.1       -1.73       -1.69        6.91       0.703       0.292       0.631       0.393        25.9        13.9        13.4        13.7        13.4       0.712       0.932       0.798       0.721       0.953
cement152-anm-00097.dat            9.15        2.07        -1.5        1.41        21.6        1.81        2.19       -1.13        5.86       0.833       0.424       0.792       0.475        43.2        30.9        23.2        30.2        21.2       0.586        0.93         0.7       0.645       0.962
cement152-anm-00101.dat            13.8       -2.62         1.9       -1.05          25        1.44       0.369        2.04        5.71       0.852       0.552        0.83       0.443        50.1        44.3          33        43.5        32.4       0.694        0.97       0.784        0.76       0.986
cement152-anm-00104.dat            5.19       -1.43       -1.72       -1.23        14.7      -0.103      0.0265      -0.845        5.85       0.823       0.353       0.759       0.467        29.5        17.3        12.3        17.3        12.3       0.546       0.902       0.668       0.588       0.941
cement152-anm-00106.dat            6.42        2.34        -1.7       0.941        18.4       0.716       0.184        1.02        6.08       0.804       0.349       0.741       0.456        36.7        21.9        14.8        21.9        14.8       0.522       0.894       0.648       0.566       0.938
cement152-anm-00107.dat            6.84      -0.985      -0.124        1.37        17.9        1.87      -0.479       -2.05        6.18       0.795       0.382       0.745        0.44        34.3        28.8        16.1        28.8        16.2       0.515       0.908       0.643       0.589        0.96
cement152-anm-00114.dat            5.36        2.38        3.75       0.279        19.2       -1.89        1.37        -1.1         6.5       0.755       0.278       0.673       0.519        38.4        28.7        12.3        28.7        12.3        0.37       0.807       0.515       0.429       0.917
cement152-anm-00116.dat             5.8        -5.5       -1.41      -0.357          20        1.58        1.48       -1.37         6.9       0.713        0.29       0.628       0.423        41.6        22.4        13.8        22.4        13.5       0.441       0.844        0.58       0.475       0.907
cement152-anm-00117.dat            4.56        4.94           0      -0.311        13.2      -0.811       -2.49        1.91        6.29       0.773       0.345       0.711       0.439        26.8        16.8          13        16.1        11.8        0.57       0.913       0.688       0.614       0.947
cement152-anm-00119.dat            4.76       -2.93        3.54      -0.289        13.2      0.0339      -0.178      -0.558         6.4       0.781        0.36       0.718       0.468        26.5        20.5        12.6        20.5        12.6       0.542       0.918       0.665       0.611       0.961
cement152-anm-00121.dat             3.8       -1.38       -2.18       0.663        13.2        2.54      -0.652       -2.46        6.91       0.719       0.289       0.652        0.45        26.5        19.5        8.94        19.5        8.94       0.393       0.826       0.537       0.454       0.924
cement152-anm-00122.dat            4.91        4.27        6.72      -0.501        18.9       0.257       -4.09    2.51e-16        7.06       0.689       0.259       0.585       0.468        38.3        23.1        10.7          23        10.8       0.365       0.795       0.511       0.408       0.897
cement152-anm-00124.dat            4.49       -1.39        2.95       0.621        11.2       0.446      -0.703       0.159         6.2       0.815       0.401       0.772       0.414        21.8        19.4        10.5        19.3        10.5       0.514       0.908       0.641       0.589       0.961
cement152-anm-00126.dat            5.13       0.716        -2.2      -0.442        13.4       0.125      0.0689      0.0273        5.82       0.816       0.383       0.777       0.447        26.9        18.3        12.8        18.3        12.8       0.576       0.925       0.692       0.633       0.959
cement152-anm-00128.dat            8.58        7.96       -1.01       -1.53        28.2       -1.92        4.08        2.86        6.86       0.719       0.305        0.63       0.484        56.6        32.4        18.3        32.1          20       0.468       0.864       0.603       0.508        0.92
cement152-anm-00136.dat            2.96        2.87       0.362      -0.551        14.3       -1.34       -1.26       0.863        7.26       0.666       0.207       0.534       0.376        28.6        11.2        8.01        10.9        7.97       0.451       0.819       0.588       0.437       0.859
