Name                             IS_Rad        IS_x        IS_y        IS_z  Sphericity    Round DP  Round MaxC    Corey SF         ASF         MPS         ESF     Hofmann
cement152-anm-00717.dat             7.7        1.27        1.06       -5.18       0.751       0.701       0.453       0.517       0.906       0.644       0.585       0.956
cement152-anm-00732.dat            6.43        1.19       -2.71       -2.04       0.824       0.777       0.493       0.561       0.923        0.68       0.625       0.961
cement152-anm-00755.dat            5.13        1.12        4.21        1.78       0.761       0.702       0.458       0.557       0.916       0.677       0.613       0.954
cement152-anm-00767.dat            11.1        1.98      0.0608        1.95       0.759       0.737        0.46       0.808       0.986       0.868       0.854       0.993
cement152-anm-00778.dat            6.41       0.769       -2.38      -0.163       0.822        0.78       0.465       0.538       0.912       0.661         0.6       0.955
cement152-anm-00795.dat             4.2      0.0449       -1.07       -1.64       0.751       0.715       0.388       0.523       0.913       0.649       0.599       0.964
cement152-anm-00807.dat             4.5         1.5        3.94        5.19       0.687       0.587        0.46       0.356       0.787       0.502       0.397       0.892
cement152-anm-00821.dat            7.73        1.63        2.59      0.0996       0.751         0.7       0.498       0.517       0.903       0.644       0.581       0.953
cement152-anm-00849.dat            6.43       0.101       -2.39        3.29       0.858       0.824       0.461       0.573       0.916        0.69       0.618        0.95
cement152-anm-00869.dat            6.83      -0.332      -0.628      -0.828       0.819         0.8       0.455       0.754       0.982       0.828       0.812       0.991
cement152-anm-00884.dat            6.17       -2.69       0.352        4.64       0.834       0.803       0.486       0.599       0.942       0.711        0.67       0.973
cement152-anm-00896.dat            4.09       -2.81       -1.85        4.37       0.701       0.602       0.491       0.313       0.748       0.461       0.358       0.885
cement152-anm-00926.dat               6       -0.61       -4.72        4.69       0.738       0.635       0.447       0.559       0.876       0.678       0.555       0.906
cement152-anm-00950.dat             6.6        1.11         2.9        5.32       0.756       0.706       0.469       0.523       0.908       0.649        0.59       0.956
cement152-anm-00963.dat            5.17       0.685       0.294        4.71       0.732       0.661       0.458       0.546       0.884       0.668        0.56       0.918
cement152-anm-00987.dat            6.91      -0.075       -5.31        3.42        0.78       0.728       0.477        0.56       0.923       0.679       0.625       0.962
cement152-anm-00998.dat            4.52        2.28       -1.07       -5.76       0.708       0.621       0.543       0.282       0.718        0.43       0.339       0.893
cement152-anm-01007.dat            4.26       -1.63        3.61        1.05       0.744       0.687       0.402       0.517       0.909       0.644       0.591       0.961
cement152-anm-01018.dat             5.8         2.1       -1.49       -6.27       0.756       0.692       0.519       0.418       0.849       0.559       0.489       0.939
cement152-anm-01031.dat            6.34        0.68        -2.1       -1.83       0.775       0.724       0.484       0.495       0.883       0.626       0.543       0.934
cement152-anm-01048.dat            8.83        0.15       0.392       -1.41       0.828       0.808       0.481       0.807        0.99       0.867       0.857       0.995
cement152-anm-01078.dat            6.99       -1.15    1.41e-16      -0.556       0.848       0.828       0.428       0.735       0.972       0.814       0.788       0.985
cement152-anm-01107.dat            5.44        5.72        1.37        5.17       0.708       0.608       0.529       0.317        0.75       0.465       0.357       0.879
cement152-anm-01115.dat            6.42       -2.11      -0.277        2.22       0.763       0.728       0.452       0.544       0.921       0.667       0.617       0.964
cement152-anm-01123.dat            10.3        1.21       -5.77        -6.5       0.745       0.723       0.446       0.603        0.94       0.714       0.668       0.969
cement152-anm-01132.dat             3.2       -1.93        1.66        2.66       0.729       0.641       0.426       0.491       0.849       0.623        0.49       0.887
